DATE,date,electricity_price
1/1/1992,1/1/1992,0.062
1/2/1992,1/2/1992,0.062
1/3/1992,1/3/1992,0.062
1/4/1992,1/4/1992,0.062
1/5/1992,1/5/1992,0.079
1/6/1992,1/6/1992,0.079
1/7/1992,1/7/1992,0.079
1/8/1992,1/8/1992,0.079
1/9/1992,1/9/1992,0.079
1/10/1992,1/10/1992,0.079
1/11/1992,1/11/1992,0.063
1/12/1992,1/12/1992,0.062
1/13/1992,1/13/1992,0.062
1/14/1992,1/14/1992,0.062
1/15/1992,1/15/1992,0.062
1/16/1992,1/16/1992,0.062
1/17/1992,1/17/1992,0.079
1/18/1992,1/18/1992,0.079
1/19/1992,1/19/1992,0.079
1/20/1992,1/20/1992,0.079
1/21/1992,1/21/1992,0.092
1/22/1992,1/22/1992,0.092
1/23/1992,1/23/1992,0.073
1/24/1992,1/24/1992,0.072
1/25/1992,1/25/1992,0.073
1/26/1992,1/26/1992,0.074
1/27/1992,1/27/1992,0.073
1/28/1992,1/28/1992,0.074
1/29/1992,1/29/1992,0.073
1/30/1992,1/30/1992,0.086
1/31/1992,1/31/1992,0.086
2/1/1992,2/1/1992,0.086
2/2/1992,2/2/1992,0.074
2/3/1992,2/3/1992,0.086
2/4/1992,2/4/1992,0.073
2/5/1992,2/5/1992,0.072
2/6/1992,2/6/1992,0.075
2/7/1992,2/7/1992,0.074
2/8/1992,2/8/1992,0.075
2/9/1992,2/9/1992,0.075
2/10/1992,2/10/1992,0.074
2/11/1992,2/11/1992,0.088
2/12/1992,2/12/1992,0.086
2/13/1992,2/13/1992,0.086
2/14/1992,2/14/1992,0.077
2/15/1992,2/15/1992,0.086
2/16/1992,2/16/1992,0.072
2/17/1992,2/17/1992,0.072
2/18/1992,2/18/1992,0.072
2/19/1992,2/19/1992,0.062
2/20/1992,2/20/1992,0.072
2/21/1992,2/21/1992,0.072
2/22/1992,2/22/1992,0.072
2/23/1992,2/23/1992,0.086
2/24/1992,2/24/1992,0.087
2/25/1992,2/25/1992,0.087
2/26/1992,2/26/1992,0.087
2/27/1992,2/27/1992,0.086
2/28/1992,2/28/1992,0.072
2/29/1992,2/29/1992,0.072
3/1/1992,3/1/1992,0.072
3/2/1992,3/2/1992,0.072
3/3/1992,3/3/1992,0.072
3/4/1992,3/4/1992,0.072
3/5/1992,3/5/1992,0.072
3/6/1992,3/6/1992,0.087
3/7/1992,3/7/1992,0.087
3/8/1992,3/8/1992,0.072
3/9/1992,3/9/1992,0.087
3/10/1992,3/10/1992,0.087
3/11/1992,3/11/1992,0.072
3/12/1992,3/12/1992,0.072
3/13/1992,3/13/1992,0.070
3/14/1992,3/14/1992,0.071
3/15/1992,3/15/1992,0.070
3/16/1992,3/16/1992,0.070
3/17/1992,3/17/1992,0.070
3/18/1992,3/18/1992,0.084
3/19/1992,3/19/1992,0.084
3/20/1992,3/20/1992,0.084
3/21/1992,3/21/1992,0.084
3/22/1992,3/22/1992,0.084
3/23/1992,3/23/1992,0.070
3/24/1992,3/24/1992,0.070
3/25/1992,3/25/1992,0.070
3/26/1992,3/26/1992,0.070
3/27/1992,3/27/1992,0.070
3/28/1992,3/28/1992,0.070
3/29/1992,3/29/1992,0.071
3/30/1992,3/30/1992,0.072
3/31/1992,3/31/1992,0.083
4/1/1992,4/1/1992,0.083
4/2/1992,4/2/1992,0.078
4/3/1992,4/3/1992,0.083
4/4/1992,4/4/1992,0.069
4/5/1992,4/5/1992,0.069
4/6/1992,4/6/1992,0.069
4/7/1992,4/7/1992,0.069
4/8/1992,4/8/1992,0.069
4/9/1992,4/9/1992,0.069
4/10/1992,4/10/1992,0.069
4/11/1992,4/11/1992,0.083
4/12/1992,4/12/1992,0.083
4/13/1992,4/13/1992,0.083
4/14/1992,4/14/1992,0.085
4/15/1992,4/15/1992,0.086
4/16/1992,4/16/1992,0.075
4/17/1992,4/17/1992,0.075
4/18/1992,4/18/1992,0.075
4/19/1992,4/19/1992,0.080
4/20/1992,4/20/1992,0.080
4/21/1992,4/21/1992,0.080
4/22/1992,4/22/1992,0.079
4/23/1992,4/23/1992,0.100
4/24/1992,4/24/1992,0.102
4/25/1992,4/25/1992,0.093
4/26/1992,4/26/1992,0.093
4/27/1992,4/27/1992,0.092
4/28/1992,4/28/1992,0.087
4/29/1992,4/29/1992,0.086
4/30/1992,4/30/1992,0.081
5/1/1992,5/1/1992,0.080
5/2/1992,5/2/1992,0.081
5/3/1992,5/3/1992,0.080
5/4/1992,5/4/1992,0.078
5/5/1992,5/5/1992,0.086
5/6/1992,5/6/1992,0.086
5/7/1992,5/7/1992,0.086
5/8/1992,5/8/1992,0.088
5/9/1992,5/9/1992,0.087
5/10/1992,5/10/1992,0.079
5/11/1992,5/11/1992,0.079
5/12/1992,5/12/1992,0.079
5/13/1992,5/13/1992,0.080
5/14/1992,5/14/1992,0.084
5/15/1992,5/15/1992,0.089
5/16/1992,5/16/1992,0.089
5/17/1992,5/17/1992,0.096
5/18/1992,5/18/1992,0.095
5/19/1992,5/19/1992,0.096
5/20/1992,5/20/1992,0.099
5/21/1992,5/21/1992,0.099
5/22/1992,5/22/1992,0.089
5/23/1992,5/23/1992,0.089
5/24/1992,5/24/1992,0.090
5/25/1992,5/25/1992,0.090
5/26/1992,5/26/1992,0.090
5/27/1992,5/27/1992,0.091
5/28/1992,5/28/1992,0.094
5/29/1992,5/29/1992,0.105
5/30/1992,5/30/1992,0.105
5/31/1992,5/31/1992,0.110
6/1/1992,6/1/1992,0.110
6/2/1992,6/2/1992,0.108
6/3/1992,6/3/1992,0.099
6/4/1992,6/4/1992,0.099
6/5/1992,6/5/1992,0.099
6/6/1992,6/6/1992,0.099
6/7/1992,6/7/1992,0.099
6/8/1992,6/8/1992,0.100
6/9/1992,6/9/1992,0.106
6/10/1992,6/10/1992,0.118
6/11/1992,6/11/1992,0.119
6/12/1992,6/12/1992,0.119
6/13/1992,6/13/1992,0.119
6/14/1992,6/14/1992,0.119
6/15/1992,6/15/1992,0.123
6/16/1992,6/16/1992,0.122
6/17/1992,6/17/1992,0.134
6/18/1992,6/18/1992,0.134
6/19/1992,6/19/1992,0.131
6/20/1992,6/20/1992,0.131
6/21/1992,6/21/1992,0.130
6/22/1992,6/22/1992,0.140
6/23/1992,6/23/1992,0.140
6/24/1992,6/24/1992,0.140
6/25/1992,6/25/1992,0.138
6/26/1992,6/26/1992,0.135
6/27/1992,6/27/1992,0.122
6/28/1992,6/28/1992,0.122
6/29/1992,6/29/1992,0.124
6/30/1992,6/30/1992,0.125
7/1/1992,7/1/1992,0.126
7/2/1992,7/2/1992,0.122
7/3/1992,7/3/1992,0.125
7/4/1992,7/4/1992,0.135
7/5/1992,7/5/1992,0.135
7/6/1992,7/6/1992,0.134
7/7/1992,7/7/1992,0.134
7/8/1992,7/8/1992,0.134
7/9/1992,7/9/1992,0.123
7/10/1992,7/10/1992,0.123
7/11/1992,7/11/1992,0.124
7/12/1992,7/12/1992,0.123
7/13/1992,7/13/1992,0.129
7/14/1992,7/14/1992,0.130
7/15/1992,7/15/1992,0.140
7/16/1992,7/16/1992,0.147
7/17/1992,7/17/1992,0.154
7/18/1992,7/18/1992,0.154
7/19/1992,7/19/1992,0.152
7/20/1992,7/20/1992,0.146
7/21/1992,7/21/1992,0.140
7/22/1992,7/22/1992,0.139
7/23/1992,7/23/1992,0.139
7/24/1992,7/24/1992,0.134
7/25/1992,7/25/1992,0.134
7/26/1992,7/26/1992,0.133
7/27/1992,7/27/1992,0.128
7/28/1992,7/28/1992,0.132
7/29/1992,7/29/1992,0.128
7/30/1992,7/30/1992,0.126
7/31/1992,7/31/1992,0.125
8/1/1992,8/1/1992,0.125
8/2/1992,8/2/1992,0.120
8/3/1992,8/3/1992,0.121
8/4/1992,8/4/1992,0.121
8/5/1992,8/5/1992,0.116
8/6/1992,8/6/1992,0.116
8/7/1992,8/7/1992,0.116
8/8/1992,8/8/1992,0.117
8/9/1992,8/9/1992,0.120
8/10/1992,8/10/1992,0.118
8/11/1992,8/11/1992,0.118
8/12/1992,8/12/1992,0.118
8/13/1992,8/13/1992,0.115
8/14/1992,8/14/1992,0.108
8/15/1992,8/15/1992,0.108
8/16/1992,8/16/1992,0.109
8/17/1992,8/17/1992,0.112
8/18/1992,8/18/1992,0.112
8/19/1992,8/19/1992,0.112
8/20/1992,8/20/1992,0.113
8/21/1992,8/21/1992,0.117
8/22/1992,8/22/1992,0.117
8/23/1992,8/23/1992,0.117
8/24/1992,8/24/1992,0.118
8/25/1992,8/25/1992,0.120
8/26/1992,8/26/1992,0.114
8/27/1992,8/27/1992,0.113
8/28/1992,8/28/1992,0.112
8/29/1992,8/29/1992,0.112
8/30/1992,8/30/1992,0.113
8/31/1992,8/31/1992,0.113
9/1/1992,9/1/1992,0.115
9/2/1992,9/2/1992,0.118
9/3/1992,9/3/1992,0.116
9/4/1992,9/4/1992,0.116
9/5/1992,9/5/1992,0.115
9/6/1992,9/6/1992,0.114
9/7/1992,9/7/1992,0.114
9/8/1992,9/8/1992,0.115
9/9/1992,9/9/1992,0.117
9/10/1992,9/10/1992,0.117
9/11/1992,9/11/1992,0.119
9/12/1992,9/12/1992,0.119
9/13/1992,9/13/1992,0.123
9/14/1992,9/14/1992,0.127
9/15/1992,9/15/1992,0.126
9/16/1992,9/16/1992,0.126
9/17/1992,9/17/1992,0.126
9/18/1992,9/18/1992,0.128
9/19/1992,9/19/1992,0.123
9/20/1992,9/20/1992,0.118
9/21/1992,9/21/1992,0.119
9/22/1992,9/22/1992,0.124
9/23/1992,9/23/1992,0.123
9/24/1992,9/24/1992,0.123
9/25/1992,9/25/1992,0.130
9/26/1992,9/26/1992,0.134
9/27/1992,9/27/1992,0.132
9/28/1992,9/28/1992,0.133
9/29/1992,9/29/1992,0.133
9/30/1992,9/30/1992,0.130
10/1/1992,10/1/1992,0.125
10/2/1992,10/2/1992,0.127
10/3/1992,10/3/1992,0.127
10/4/1992,10/4/1992,0.127
10/5/1992,10/5/1992,0.127
10/6/1992,10/6/1992,0.126
10/7/1992,10/7/1992,0.126
10/8/1992,10/8/1992,0.129
10/9/1992,10/9/1992,0.130
10/10/1992,10/10/1992,0.125
10/11/1992,10/11/1992,0.124
10/12/1992,10/12/1992,0.122
10/13/1992,10/13/1992,0.116
10/14/1992,10/14/1992,0.116
10/15/1992,10/15/1992,0.116
10/16/1992,10/16/1992,0.116
10/17/1992,10/17/1992,0.111
10/18/1992,10/18/1992,0.111
10/19/1992,10/19/1992,0.112
10/20/1992,10/20/1992,0.116
10/21/1992,10/21/1992,0.116
10/22/1992,10/22/1992,0.119
10/23/1992,10/23/1992,0.117
10/24/1992,10/24/1992,0.117
10/25/1992,10/25/1992,0.112
10/26/1992,10/26/1992,0.112
10/27/1992,10/27/1992,0.112
10/28/1992,10/28/1992,0.112
10/29/1992,10/29/1992,0.112
10/30/1992,10/30/1992,0.112
10/31/1992,10/31/1992,0.128
11/1/1992,11/1/1992,0.128
11/2/1992,11/2/1992,0.128
11/3/1992,11/3/1992,0.128
11/4/1992,11/4/1992,0.128
11/5/1992,11/5/1992,0.128
11/6/1992,11/6/1992,0.127
11/7/1992,11/7/1992,0.126
11/8/1992,11/8/1992,0.126
11/9/1992,11/9/1992,0.126
11/10/1992,11/10/1992,0.124
11/11/1992,11/11/1992,0.132
11/12/1992,11/12/1992,0.133
11/13/1992,11/13/1992,0.142
11/14/1992,11/14/1992,0.142
11/15/1992,11/15/1992,0.142
11/16/1992,11/16/1992,0.136
11/17/1992,11/17/1992,0.136
11/18/1992,11/18/1992,0.136
11/19/1992,11/19/1992,0.136
11/20/1992,11/20/1992,0.141
11/21/1992,11/21/1992,0.141
11/22/1992,11/22/1992,0.142
11/23/1992,11/23/1992,0.142
11/24/1992,11/24/1992,0.142
11/25/1992,11/25/1992,0.142
11/26/1992,11/26/1992,0.142
11/27/1992,11/27/1992,0.142
11/28/1992,11/28/1992,0.143
11/29/1992,11/29/1992,0.143
11/30/1992,11/30/1992,0.142
12/1/1992,12/1/1992,0.142
12/2/1992,12/2/1992,0.141
12/3/1992,12/3/1992,0.137
12/4/1992,12/4/1992,0.134
12/5/1992,12/5/1992,0.134
12/6/1992,12/6/1992,0.136
12/7/1992,12/7/1992,0.136
12/8/1992,12/8/1992,0.135
12/9/1992,12/9/1992,0.133
12/10/1992,12/10/1992,0.132
12/11/1992,12/11/1992,0.132
12/12/1992,12/12/1992,0.130
12/13/1992,12/13/1992,0.130
12/14/1992,12/14/1992,0.131
12/15/1992,12/15/1992,0.131
12/16/1992,12/16/1992,0.128
12/17/1992,12/17/1992,0.127
12/18/1992,12/18/1992,0.128
12/19/1992,12/19/1992,0.129
12/20/1992,12/20/1992,0.133
12/21/1992,12/21/1992,0.144
12/22/1992,12/22/1992,0.152
12/23/1992,12/23/1992,0.153
12/24/1992,12/24/1992,0.153
12/25/1992,12/25/1992,0.154
