DATE,Date,gas_price
1/1/1992,1/1/1992,1.122
2/1/1992,2/1/1992,1.086
3/1/1992,3/1/1992,1.089
4/1/1992,4/1/1992,1.115
5/1/1992,5/1/1992,1.159
6/1/1992,6/1/1992,1.205
7/1/1992,7/1/1992,1.210
8/1/1992,8/1/1992,1.204
9/1/1992,9/1/1992,1.190
10/1/1992,10/1/1992,1.180
11/1/1992,11/1/1992,1.176
12/1/1992,12/1/1992,1.167
1/1/1993,1/1/1993,1.137
2/1/1993,2/1/1993,1.112
3/1/1993,3/1/1993,1.119
4/1/1993,4/1/1993,1.120
5/1/1993,5/1/1993,1.144
6/1/1993,6/1/1993,1.158
7/1/1993,7/1/1993,1.148
8/1/1993,8/1/1993,1.145
9/1/1993,9/1/1993,1.122
10/1/1993,10/1/1993,1.153
11/1/1993,11/1/1993,1.123
12/1/1993,12/1/1993,1.103
1/1/1994,1/1/1994,1.069
2/1/1994,2/1/1994,1.063
3/1/1994,3/1/1994,1.055
4/1/1994,4/1/1994,1.078
5/1/1994,5/1/1994,1.090
6/1/1994,6/1/1994,1.106
7/1/1994,7/1/1994,1.127
8/1/1994,8/1/1994,1.193
9/1/1994,9/1/1994,1.210
10/1/1994,10/1/1994,1.202
11/1/1994,11/1/1994,1.205
12/1/1994,12/1/1994,1.225
1/1/1995,1/1/1995,1.221
2/1/1995,2/1/1995,1.206
3/1/1995,3/1/1995,1.192
4/1/1995,4/1/1995,1.186
5/1/1995,5/1/1995,1.224
6/1/1995,6/1/1995,1.257
7/1/1995,7/1/1995,1.240
8/1/1995,8/1/1995,1.201
9/1/1995,9/1/1995,1.173
10/1/1995,10/1/1995,1.147
11/1/1995,11/1/1995,1.086
12/1/1995,12/1/1995,1.087
1/1/1996,1/1/1996,1.113
2/1/1996,2/1/1996,1.105
3/1/1996,3/1/1996,1.151
4/1/1996,4/1/1996,1.283
5/1/1996,5/1/1996,1.314
6/1/1996,6/1/1996,1.295
7/1/1996,7/1/1996,1.246
8/1/1996,8/1/1996,1.210
9/1/1996,9/1/1996,1.214
10/1/1996,10/1/1996,1.207
11/1/1996,11/1/1996,1.219
12/1/1996,12/1/1996,1.229
1/1/1997,1/1/1997,1.226
2/1/1997,2/1/1997,1.229
3/1/1997,3/1/1997,1.217
4/1/1997,4/1/1997,1.209
5/1/1997,5/1/1997,1.201
6/1/1997,6/1/1997,1.202
7/1/1997,7/1/1997,1.184
8/1/1997,8/1/1997,1.217
9/1/1997,9/1/1997,1.240
10/1/1997,10/1/1997,1.218
11/1/1997,11/1/1997,1.184
12/1/1997,12/1/1997,1.161
1/1/1998,1/1/1998,1.119
2/1/1998,2/1/1998,1.079
3/1/1998,3/1/1998,1.051
4/1/1998,4/1/1998,1.049
5/1/1998,5/1/1998,1.052
6/1/1998,6/1/1998,1.051
7/1/1998,7/1/1998,1.046
8/1/1998,8/1/1998,1.033
9/1/1998,9/1/1998,1.013
10/1/1998,10/1/1998,1.023
11/1/1998,11/1/1998,1.025
12/1/1998,12/1/1998,1.002
1/1/1999,1/1/1999,0.971
2/1/1999,2/1/1999,0.959
3/1/1999,3/1/1999,0.965
4/1/1999,4/1/1999,1.086
5/1/1999,5/1/1999,1.121
6/1/1999,6/1/1999,1.119
7/1/1999,7/1/1999,1.137
8/1/1999,8/1/1999,1.200
9/1/1999,9/1/1999,1.235
10/1/1999,10/1/1999,1.275
11/1/1999,11/1/1999,1.261
12/1/1999,12/1/1999,1.297
1/1/2000,1/1/2000,1.297
2/1/2000,2/1/2000,1.351
3/1/2000,3/1/2000,1.516
4/1/2000,4/1/2000,1.521
5/1/2000,5/1/2000,1.490
6/1/2000,6/1/2000,1.562
7/1/2000,7/1/2000,1.606
8/1/2000,8/1/2000,1.518
9/1/2000,9/1/2000,1.517
10/1/2000,10/1/2000,1.506
11/1/2000,11/1/2000,1.494
12/1/2000,12/1/2000,1.443
1/1/2001,1/1/2001,1.403
2/1/2001,2/1/2001,1.459
3/1/2001,3/1/2001,1.416
4/1/2001,4/1/2001,1.555
5/1/2001,5/1/2001,1.693
6/1/2001,6/1/2001,1.657
7/1/2001,7/1/2001,1.450
8/1/2001,8/1/2001,1.364
9/1/2001,9/1/2001,1.437
10/1/2001,10/1/2001,1.333
11/1/2001,11/1/2001,1.168
12/1/2001,12/1/2001,1.067
1/1/2002,1/1/2002,1.094
2/1/2002,2/1/2002,1.110
3/1/2002,3/1/2002,1.214
4/1/2002,4/1/2002,1.418
5/1/2002,5/1/2002,1.430
6/1/2002,6/1/2002,1.405
7/1/2002,7/1/2002,1.395
8/1/2002,8/1/2002,1.400
9/1/2002,9/1/2002,1.408
10/1/2002,10/1/2002,1.463
11/1/2002,11/1/2002,1.432
12/1/2002,12/1/2002,1.390
1/1/2003,1/1/2003,1.495
2/1/2003,2/1/2003,1.632
3/1/2003,3/1/2003,1.658
4/1/2003,4/1/2003,1.542
5/1/2003,5/1/2003,1.456
6/1/2003,6/1/2003,1.456
7/1/2003,7/1/2003,1.497
8/1/2003,8/1/2003,1.583
9/1/2003,9/1/2003,1.561
10/1/2003,10/1/2003,1.479
11/1/2003,11/1/2003,1.436
12/1/2003,12/1/2003,1.425
1/1/2004,1/1/2004,1.580
2/1/2004,2/1/2004,1.622
3/1/2004,3/1/2004,1.674
4/1/2004,4/1/2004,1.747
5/1/2004,5/1/2004,1.947
6/1/2004,6/1/2004,1.930
7/1/2004,7/1/2004,1.864
8/1/2004,8/1/2004,1.853
9/1/2004,9/1/2004,1.854
10/1/2004,10/1/2004,1.902
11/1/2004,11/1/2004,1.921
12/1/2004,12/1/2004,1.818
1/1/2005,1/1/2005,1.741
2/1/2005,2/1/2005,1.860
3/1/2005,3/1/2005,1.934
4/1/2005,4/1/2005,2.196
5/1/2005,5/1/2005,2.158
6/1/2005,6/1/2005,2.100
7/1/2005,7/1/2005,2.245
8/1/2005,8/1/2005,2.393
9/1/2005,9/1/2005,2.933
10/1/2005,10/1/2005,2.943
11/1/2005,11/1/2005,2.311
12/1/2005,12/1/2005,2.116
1/1/2006,1/1/2006,2.299
2/1/2006,2/1/2006,2.300
3/1/2006,3/1/2006,2.334
4/1/2006,4/1/2006,2.767
5/1/2006,5/1/2006,2.950
6/1/2006,6/1/2006,2.858
7/1/2006,7/1/2006,2.926
8/1/2006,8/1/2006,2.934
9/1/2006,9/1/2006,2.473
10/1/2006,10/1/2006,2.111
11/1/2006,11/1/2006,2.119
12/1/2006,12/1/2006,2.214
1/1/2007,1/1/2007,2.167
2/1/2007,2/1/2007,2.097
3/1/2007,3/1/2007,2.402
4/1/2007,4/1/2007,2.737
5/1/2007,5/1/2007,2.953
6/1/2007,6/1/2007,2.990
7/1/2007,7/1/2007,2.905
8/1/2007,8/1/2007,2.743
9/1/2007,9/1/2007,2.676
10/1/2007,10/1/2007,2.681
11/1/2007,11/1/2007,2.955
12/1/2007,12/1/2007,2.876
1/1/2008,1/1/2008,2.948
2/1/2008,2/1/2008,2.908
3/1/2008,3/1/2008,3.190
4/1/2008,4/1/2008,3.354
5/1/2008,5/1/2008,3.685
6/1/2008,6/1/2008,3.962
7/1/2008,7/1/2008,4.004
8/1/2008,8/1/2008,3.689
9/1/2008,9/1/2008,3.610
10/1/2008,10/1/2008,3.176
11/1/2008,11/1/2008,2.015
12/1/2008,12/1/2008,1.618
1/1/2009,1/1/2009,1.663
2/1/2009,2/1/2009,1.801
3/1/2009,3/1/2009,1.849
4/1/2009,4/1/2009,2.013
5/1/2009,5/1/2009,2.123
6/1/2009,6/1/2009,2.520
7/1/2009,7/1/2009,2.392
8/1/2009,8/1/2009,2.497
9/1/2009,9/1/2009,2.372
10/1/2009,10/1/2009,2.374
11/1/2009,11/1/2009,2.509
12/1/2009,12/1/2009,2.498
1/1/2010,1/1/2010,2.570
2/1/2010,2/1/2010,2.486
3/1/2010,3/1/2010,2.674
4/1/2010,4/1/2010,2.766
5/1/2010,5/1/2010,2.821
6/1/2010,6/1/2010,2.606
7/1/2010,7/1/2010,2.591
8/1/2010,8/1/2010,2.583
9/1/2010,9/1/2010,2.523
10/1/2010,10/1/2010,2.682
11/1/2010,11/1/2010,2.663
12/1/2010,12/1/2010,2.842
1/1/2011,1/1/2011,2.957
2/1/2011,2/1/2011,2.991
3/1/2011,3/1/2011,3.450
4/1/2011,4/1/2011,3.741
5/1/2011,5/1/2011,3.853
6/1/2011,6/1/2011,3.576
7/1/2011,7/1/2011,3.580
8/1/2011,8/1/2011,3.577
9/1/2011,9/1/2011,3.403
10/1/2011,10/1/2011,3.215
11/1/2011,11/1/2011,3.212
12/1/2011,12/1/2011,3.070
1/1/2012,1/1/2012,3.236
2/1/2012,2/1/2012,3.525
3/1/2012,3/1/2012,3.766
4/1/2012,4/1/2012,3.860
5/1/2012,5/1/2012,3.593
6/1/2012,6/1/2012,3.329
7/1/2012,7/1/2012,3.306
8/1/2012,8/1/2012,3.524
9/1/2012,9/1/2012,3.650
10/1/2012,10/1/2012,3.499
11/1/2012,11/1/2012,3.162
12/1/2012,12/1/2012,3.096
1/1/2013,1/1/2013,3.258
2/1/2013,2/1/2013,3.605
3/1/2013,3/1/2013,3.673
4/1/2013,4/1/2013,3.516
5/1/2013,5/1/2013,3.509
6/1/2013,6/1/2013,3.507
7/1/2013,7/1/2013,3.578
8/1/2013,8/1/2013,3.524
9/1/2013,9/1/2013,3.329
10/1/2013,10/1/2013,3.226
11/1/2013,11/1/2013,3.080
12/1/2013,12/1/2013,3.135
1/1/2014,1/1/2014,3.207
2/1/2014,2/1/2014,3.274
3/1/2014,3/1/2014,3.429
4/1/2014,4/1/2014,3.595
5/1/2014,5/1/2014,3.530
6/1/2014,6/1/2014,3.598
7/1/2014,7/1/2014,3.529
8/1/2014,8/1/2014,3.344
9/1/2014,9/1/2014,3.261
10/1/2014,10/1/2014,3.012
11/1/2014,11/1/2014,2.708
12/1/2014,12/1/2014,2.286
1/1/2015,1/1/2015,1.926
2/1/2015,2/1/2015,2.173
3/1/2015,3/1/2015,2.290
4/1/2015,4/1/2015,2.403
5/1/2015,5/1/2015,2.614
6/1/2015,6/1/2015,2.742
7/1/2015,7/1/2015,2.593
8/1/2015,8/1/2015,2.391
9/1/2015,9/1/2015,2.101
10/1/2015,10/1/2015,2.085
11/1/2015,11/1/2015,1.981
12/1/2015,12/1/2015,1.907
1/1/2016,1/1/2016,1.773
2/1/2016,2/1/2016,1.631
3/1/2016,3/1/2016,1.913
4/1/2016,4/1/2016,2.001
5/1/2016,5/1/2016,2.112
6/1/2016,6/1/2016,2.223
7/1/2016,7/1/2016,2.101
8/1/2016,8/1/2016,2.045
9/1/2016,9/1/2016,2.010
10/1/2016,10/1/2016,2.052
11/1/2016,11/1/2016,2.015
12/1/2016,12/1/2016,2.037
1/1/2017,1/1/2017,2.165
2/1/2017,2/1/2017,2.066
3/1/2017,3/1/2017,2.136
4/1/2017,4/1/2017,2.290
5/1/2017,5/1/2017,2.207
6/1/2017,6/1/2017,2.214
7/1/2017,7/1/2017,2.133
8/1/2017,8/1/2017,2.247
9/1/2017,9/1/2017,2.537
10/1/2017,10/1/2017,2.256
11/1/2017,11/1/2017,2.310
12/1/2017,12/1/2017,2.210
1/1/2018,1/1/2018,2.273
2/1/2018,2/1/2018,2.235
3/1/2018,3/1/2018,2.332
4/1/2018,4/1/2018,2.509
5/1/2018,5/1/2018,2.721
6/1/2018,6/1/2018,2.762
7/1/2018,7/1/2018,2.623
8/1/2018,8/1/2018,2.601
9/1/2018,9/1/2018,2.636
10/1/2018,10/1/2018,2.621
11/1/2018,11/1/2018,2.267
12/1/2018,12/1/2018,1.961
1/1/2019,1/1/2019,1.892
2/1/2019,2/1/2019,2.031
3/1/2019,3/1/2019,2.332
4/1/2019,4/1/2019,2.602
5/1/2019,5/1/2019,2.604
6/1/2019,6/1/2019,2.399
7/1/2019,7/1/2019,2.549
8/1/2019,8/1/2019,2.335
9/1/2019,9/1/2019,2.348
10/1/2019,10/1/2019,2.249
11/1/2019,11/1/2019,2.286
12/1/2019,12/1/2019,2.214
1/1/2020,1/1/2020,2.235
2/1/2020,2/1/2020,2.054
3/1/2020,3/1/2020,1.919
4/1/2020,4/1/2020,1.417
5/1/2020,5/1/2020,1.406
6/1/2020,6/1/2020,1.722
7/1/2020,7/1/2020,1.903
8/1/2020,8/1/2020,1.869
9/1/2020,9/1/2020,1.893
10/1/2020,10/1/2020,1.833
11/1/2020,11/1/2020,1.766
12/1/2020,12/1/2020,1.885
1/1/2021,1/1/2021,2.065
2/1/2021,2/1/2021,2.196
3/1/2021,3/1/2021,2.533
4/1/2021,4/1/2021,2.485
5/1/2021,5/1/2021,2.737
6/1/2021,6/1/2021,2.836
7/1/2021,7/1/2021,2.882
8/1/2021,8/1/2021,2.894
9/1/2021,9/1/2021,2.910
10/1/2021,10/1/2021,3.033
11/1/2021,11/1/2021,3.137
12/1/2021,12/1/2021,3.015
